,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
934,DIE YOUNG,SCOREY,0.563,0.524,6,-6.176,0,0.32,0.185,0.0,0.0996,0.475,155.646,134376,0
935,COFFEE,QUINN XCII,0.831,0.452,5,-5.111,0,0.047,0.0803,0.0,0.359,0.534,93.04,180053,0
936,ERRBODY,LIL BABY,0.887,0.606,2,-6.572,1,0.324,0.000407,0.0,0.151,0.272,139.995,210699,1
937,FAFO,ZACK FOX,0.948,0.786,11,-8.44,0,0.296,0.00267,0.000586,0.1,0.909,138.108,158467,0
938,B.B. KING FREESTYLE,LIL WAYNE,0.664,0.553,11,-8.316,1,0.415,0.455,0.0,0.181,0.722,87.009,222801,0
939,LIVE ON (THUGGIN DAYS),NUSKI2SQUAD,0.547,0.544,7,-5.617,0,0.315,0.317,0.0,0.0922,0.153,75.738,206535,0
940,BEAT BOX 3,SPOTEMGOTTEM,0.853,0.426,1,-6.812,1,0.374,0.0765,0.0,0.104,0.201,160.051,200424,0
941,BITCH IM JOE BIDEN,YVNGXCHRIS,0.73,0.545,9,-9.562,1,0.0989,0.00198,0.0212,0.167,0.286,142.052,108442,0
942,TWIRLANTA,22GZ,0.803,0.738,0,-4.946,1,0.294,0.528,0.0,0.112,0.323,139.948,178407,0
943,I'M SORRY,LIL UZI VERT,0.858,0.547,1,-5.822,1,0.29,0.213,0.0,0.104,0.303,128.02,211883,1
944,RUN + RAN,KEN CARSON,0.552,0.587,7,-7.374,1,0.217,0.031,7.09e-06,0.136,0.484,139.136,244376,0
945,PROSPECT (FT. LIL BABY),IANN DIOR,0.816,0.579,1,-6.097,1,0.0867,0.203,0.0,0.127,0.43,120.078,226314,0
946,ANXIETY,LIL DARKIE,0.674,0.821,2,-3.137,1,0.365,0.785,1.75e-06,0.337,0.365,90.0,260667,0
947,HOOD MELODY,DDG,0.89,0.509,5,-10.331,1,0.318,0.35,0.0,0.111,0.652,122.011,208544,0
948,KNOCK KNOCK,NARDO WICK,0.734,0.447,1,-7.08,1,0.308,0.000219,0.000114,0.108,0.061,172.075,145372,0
949,DIRTY FAYGO,BABY SMOOVE,0.486,0.497,5,-10.204,0,0.496,0.329,0.0,0.221,0.15,106.571,110341,0
950,PICASSO,SHEFF G,0.787,0.545,6,-6.226,0,0.402,0.155,0.0,0.178,0.236,139.837,212802,0
951,BLUFFIN,BRENT FAIYAZ,0.584,0.37,0,-9.493,0,0.0553,0.678,0.0,0.108,0.281,148.981,195802,0
952,NOT PLAYING,PLAYBOI CARTI,0.815,0.762,2,-5.045,1,0.219,0.00821,0.0,0.337,0.317,140.092,130306,0
953,DREAMS UNFOLD,JOYNER LUCAS,0.869,0.62,9,-5.308,1,0.191,0.36,0.0,0.103,0.961,148.041,201081,0
954,MEXICO,SHOTGUN WILLY,0.84,0.45,9,-8.185,1,0.0893,0.26,2.9e-05,0.107,0.275,99.998,204000,0
955,NO PHOTOS,DON TOLIVER,0.752,0.729,1,-5.436,1,0.174,0.29,1.27e-06,0.0783,0.366,134.038,175297,0
956,BETRAYAL,TRIPPIE REDD,0.74,0.564,8,-6.71,1,0.0688,0.0126,0.0,0.126,0.129,158.114,152025,1
957,SCARGAZER,PROMPTO,0.677,0.793,6,-5.972,0,0.0734,0.558,1.18e-05,0.105,0.941,75.026,144000,0
958,SURF SWAG,LIL WAYNE,0.49,0.749,11,-7.019,0,0.332,0.0103,0.0,0.101,0.346,97.908,249574,0
959,OFF THE KNOB,MARLON CRAFT,0.829,0.537,2,-7.75,1,0.273,0.788,0.0,0.11,0.495,120.002,120000,0
960,MORBID MIND,JACK KAYS,0.732,0.565,0,-8.366,1,0.036,0.467,0.0,0.108,0.684,126.042,136750,0
961,AVATAR,LIL LOADED,0.94,0.611,8,-5.606,1,0.416,0.00421,0.0,0.334,0.681,129.978,166233,0
962,HOW I BEEN,YOUNGBOY NEVER BROKE AGAIN,0.685,0.586,3,-5.737,1,0.127,0.347,0.0,0.0828,0.708,80.013,194534,0
963,TOXIC PUNK,YOUNGBOY NEVER BROKE AGAIN,0.633,0.534,1,-8.605,1,0.229,0.0524,0.0,0.189,0.29,155.111,123871,0
964,CREATURE,POP SMOKE,0.794,0.717,7,-5.73,1,0.251,0.0511,0.0,0.195,0.372,141.881,202816,0
965,WHAT U SEE IS WHAT U GET,YOUNG DOLPH,0.927,0.686,5,-5.202,0,0.194,0.21,1.01e-06,0.0916,0.894,140.048,168320,0
966,DEGENERATION IN THE KEY OF A MINOR,$UICIDEBOY$,0.838,0.848,6,-8.055,0,0.132,0.082,0.0188,0.384,0.449,120.045,128000,0
967,SAID SUM,MONEYBAGG YO,0.913,0.625,10,-6.901,0,0.334,0.0168,0.0,0.125,0.298,126.915,177704,1
968,[WHISPERS INDISTINCTLY],$UICIDEBOY$,0.899,0.716,11,-6.592,0,0.347,0.182,0.0,0.191,0.656,140.038,164624,0
969,TIKTOK,BLUEFACE,0.752,0.561,3,-8.754,1,0.885,0.0582,0.0,0.22,0.558,206.135,135146,0
970,PAINTING PICTURES,POLO G,0.522,0.466,3,-8.05,0,0.458,0.331,0.0,0.11,0.459,78.43,137692,1
971,FALL IN LOVE,$NOT,0.607,0.431,1,-9.077,0,0.205,0.215,0.000503,0.126,0.0885,145.869,145613,0
972,CAN'T FEEL MY LEGS,DON TOLIVER,0.703,0.653,11,-6.226,0,0.079,0.237,0.0,0.199,0.414,140.044,180675,0
973,HOLLER!,HOMIXIDE GANG,0.716,0.677,1,-7.554,1,0.196,0.00129,0.0,0.115,0.582,150.082,102531,0
974,REAL THINGS,MIKE.,0.862,0.439,9,-7.411,0,0.0579,0.39,1.03e-06,0.0888,0.489,113.017,155044,0
975,I WANNA BE ROMANTICIZED,$UICIDEBOY$,0.69,0.39,6,-8.96,0,0.127,0.0686,0.0,0.0501,0.135,79.003,133747,0
976,SHOTTAS (LALA),MONEYBAGG YO,0.925,0.463,6,-9.309,0,0.454,0.0681,0.0,0.101,0.961,133.061,122729,1
977,MAD FUNNY FREESTYLE,AMINÉ,0.833,0.61,9,-7.556,0,0.302,0.0472,9.55e-06,0.319,0.793,147.945,101745,0
978,BARS NO JUTSU,LOUIS CAPONE,0.694,0.766,1,-7.179,1,0.14,0.217,1.01e-06,0.134,0.636,133.924,148643,0
979,PRADA,24KGOLDN,0.686,0.69,6,-6.13,0,0.24,0.122,0.0,0.137,0.528,178.157,151586,0
980,STRANGE,AGUST D,0.627,0.662,7,-8.121,1,0.203,0.00236,0.0,0.157,0.207,90.008,196529,0
981,PERC TALKIN,SLEEPY HALLOW,0.51,0.544,6,-7.944,0,0.403,0.737,1.52e-05,0.129,0.678,180.059,160213,0
982,GLOOMY CONSCIOUS,SLEEPY HALLOW,0.751,0.348,6,-13.092,0,0.562,0.375,0.0,0.361,0.586,94.002,163404,0
983,DON'T LOOK AT ME,POORSTACY,0.539,0.832,1,-6.53,0,0.256,0.0101,0.00437,0.638,0.287,76.503,188238,0
984,WEEEEEE,TRIPPIE REDD,0.729,0.503,0,-8.229,1,0.081,0.111,0.0,0.123,0.152,134.927,152920,1
985,KING VAMP,PLAYBOI CARTI,0.691,0.756,8,-5.638,0,0.352,0.0117,0.0,0.257,0.396,144.188,186776,0
986,HARDAWAY,YUNGEEN ACE,0.844,0.56,1,-6.501,1,0.253,0.0261,0.0,0.205,0.415,135.025,141344,0
987,NEW AGAIN,KANYE WEST,0.67,0.675,6,-4.624,0,0.179,0.0581,0.0,0.433,0.263,90.948,183297,0
988,SNOWFLAKES,TOM MACDONALD,0.53,0.826,4,-6.369,1,0.43,0.0209,0.0,0.0915,0.277,95.99,229375,0
989,LUV EM ALL,SLEEPY HALLOW,0.875,0.595,2,-8.419,1,0.296,0.276,0.0,0.208,0.846,97.489,148079,0
990,WE BALL,ACE HOOD,0.752,0.525,10,-9.034,0,0.248,0.252,0.0,0.115,0.151,154.961,200655,0
991,KNOCKED OFF,YOUNGBOY NEVER BROKE AGAIN,0.752,0.653,6,-4.607,0,0.293,0.0647,0.0,0.125,0.569,165.046,127983,1
992,HURT FROM MERCURY,TORY LANEZ,0.476,0.638,9,-8.636,1,0.061,0.151,0.0,0.13,0.634,92.01,203562,0
993,KNOW MY RIGHTS,6LACK,0.789,0.419,1,-9.874,0,0.157,0.249,0.0257,0.123,0.542,117.988,194396,0
994,ME AND DOODIE LO,ONLY THE FAMILY,0.882,0.541,9,-7.732,1,0.363,0.00787,0.0,0.101,0.456,149.971,153652,0
995,H.E.R.//ARE YOU DUMB,TORY LANEZ,0.585,0.593,9,-9.0,1,0.552,0.512,0.0,0.237,0.45,120.209,195040,0
996,24,KANYE WEST,0.386,0.534,5,-6.086,0,0.0389,0.129,0.0,0.351,0.343,110.057,197898,0
997,WHITE TEETH,YOUNGBOY NEVER BROKE AGAIN,0.638,0.66,3,-7.115,0,0.299,0.246,0.0,0.134,0.738,157.996,174684,0
998,UVA BOMBOM,ROCHY RD,0.63,0.92,1,-1.564,0,0.4,0.123,0.000137,0.0403,0.963,227.895,136427,0
999,ONE SHOT,YOUNGBOY NEVER BROKE AGAIN,0.589,0.684,1,-4.51,0,0.394,0.143,0.0,0.214,0.261,112.592,196542,0
