,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,hit
9671,AIN'T WORRIED ABOUT NOTHIN,FRENCH MONTANA,0.688,0.904,1,-2.234,1,0.106,0.0229,0.00E+00,0.0909,0.71,127.887,212427,1
9672,DESPERADO,MAC MILLER,0.378,0.903,8,-5.232,0,0.514,0.148,0.00E+00,0.188,0.206,179.265,240004,0
9673,ASSHOLE,EMINEM,0.534,0.906,1,-2.316,1,0.349,0.471,0.00E+00,0.782,0.499,174.058,288984,0
9674,YOUNG LADY,KID CUDI,0.526,0.971,6,-3.674,0,0.0457,0.00384,9.20E-02,0.312,0.435,117.596,264547,0
9675,MARBLE FLOORS,FRENCH MONTANA,0.819,0.601,11,-5.339,1,0.067,0.00208,0.00E+00,0.111,0.448,130.057,230733,0
9676,AQUARIUM,MAC MILLER,0.512,0.765,4,-7.379,0,0.171,0.388,0.00E+00,0.639,0.415,142.147,278045,0
9677,SATELLITES,KEVIN GATES,0.713,0.886,10,-3.879,0,0.12,0.0473,0.00E+00,0.168,0.775,140.032,221600,0
9678,LIES GREED MISERY,LINKIN PARK,0.545,0.962,7,-4.552,1,0.14,0.0133,0.00E+00,0.059,0.539,160.017,146493,0
9679,ONE SIXTEEN,TRIP LEE,0.794,0.849,8,-4.488,0,0.241,0.0884,0.00E+00,0.0938,0.785,75.01,246347,0
9680,GRAVEL PIT,WU-TANG CLAN,0.785,0.728,7,-7.364,1,0.254,0.278,0.00E+00,0.137,0.533,120.952,244227,0
9681,FUCK THE REST,FALLING IN REVERSE,0.507,0.954,2,-3.608,1,0.148,0.00142,5.89E-06,0.841,0.704,167.309,264998,0
9682,4 IN THE MORNIN,NIPSEY HUSSLE,0.678,0.53,6,-10.319,0,0.355,0.000506,1.31E-06,0.0477,0.441,139.948,209427,0
9683,EDGE OF DESTRUCTION,MACHINE GUN KELLY,0.773,0.781,6,-6.967,0,0.0512,0.045,0.00E+00,0.14,0.13,131.971,307893,0
9684,BLUFFIN,WIZ KHALIFA,0.827,0.713,8,-5.511,1,0.131,0.0155,0.00E+00,0.717,0.283,130.201,332600,0
9685,WHITE WALLS,MACKLEMORE & RYAN LEWIS,0.765,0.762,7,-5.878,1,0.158,0.0619,0.00E+00,0.406,0.819,116.473,219426,0
9686,ICARUS,THE CRANE WIVES,0.663,0.542,7,-9.705,1,0.0681,0.211,2.70E-06,0.332,0.64,136.065,218720,0
9687,SO MUCH BETTER,EMINEM,0.719,0.858,10,-1.366,0,0.25,0.252,0.00E+00,0.628,0.616,84.497,261387,0
9688,DUMP DUMP,A$AP FERG,0.65,0.638,8,-5.94,1,0.127,0.207,0.00E+00,0.266,0.418,134.044,214827,0
9689,THEY READY,DJ KHALED,0.585,0.884,8,-3.634,1,0.354,0.0942,0.00E+00,0.41,0.694,151.874,194253,0
9690,COLD.1,KANYE WEST,0.435,0.885,4,-4.143,0,0.132,0.00728,0.00E+00,0.21,0.536,106.706,216253,0
9691,UNGRATEFUL EYES,JON BELLION,0.786,0.75,5,-5.137,1,0.0496,0.213,5.62E-06,0.0869,0.656,119.967,204760,0
9692,LOVE SOSA,CHIEF KEEF,0.772,0.413,0,-8.194,0,0.0891,0.0361,0.00E+00,0.111,0.211,131.964,246213,1
9693,LIL NIGGA SNUPE,MEEK MILL,0.783,0.556,1,-10.747,1,0.433,0.0252,0.00E+00,0.745,0.242,105.913,207093,0
9694,HALF NAKED & ALMOST FAMOUS,MACHINE GUN KELLY,0.758,0.817,1,-5.055,1,0.106,0.00339,0.00E+00,0.138,0.427,104.949,171667,0
9695,FLAW OF PERFECTION,ETHELWULF,0.738,0.424,2,-14.276,1,0.094,0.391,0.00E+00,0.16,0.334,129.916,138319,0
9696,BEACH IS BETTER,JAY-Z,0.813,0.518,9,-6.504,1,0.0558,0.00138,4.34E-05,0.125,0.0941,114.232,55640,0
9697,COME OVER,NIPSEY HUSSLE,0.676,0.445,1,-12.174,1,0.0805,0.353,0.00E+00,0.103,0.17,86.147,219733,0
9698,RICO STORY 3,SPEAKER KNOCKERZ,0.659,0.873,0,-5.168,0,0.0846,0.139,2.75E-06,0.528,0.209,140.124,205507,0
9699,LIVE MY LIFE,FAR EAST MOVEMENT,0.683,0.804,9,-6.592,0,0.0849,0.00289,0.00E+00,0.0949,0.522,128.007,237107,0
9700,SWITCH LANES,TYGA,0.761,0.851,10,-4.371,0,0.234,0.556,5.45E-04,0.104,0.463,92.486,221493,0
9701,SKIN TO BONE,LINKIN PARK,0.471,0.977,9,-3.593,0,0.054,0.0435,7.77E-02,0.433,0.762,159.992,168347,0
9702,RICO STORY,SPEAKER KNOCKERZ,0.732,0.592,0,-9.374,0,0.0342,0.481,4.46E-06,0.245,0.405,139.954,159413,0
9703,PURPLE SWAG REMIX,A$AP ROCKY,0.665,0.858,2,-4.591,1,0.369,0.288,0.00E+00,0.383,0.453,115.021,252373,0
9704,READY,CANSERBERO,0.658,0.881,1,-3.806,1,0.388,0.23,0.00E+00,0.201,0.705,90.936,495282,0
9705,ASHLEY,BIG SEAN,0.625,0.915,4,-5.214,0,0.15,0.0936,0.00E+00,0.273,0.39,117.914,260320,0
9706,HOLD ON (SHUT UP),MACHINE GUN KELLY,0.658,0.7,10,-5.212,0,0.258,0.0157,2.55E-06,0.0332,0.188,73.606,210693,0
9707,30 ROUND CLIP KREAYSHAWN,SICKBOYRARI,0.602,0.735,11,-7.838,1,0.443,0.735,0.00E+00,0.383,0.513,85.722,107459,0
9708,WHEN I'M GONE,I4NI,0.679,0.581,9,-6.904,1,0.111,0.0816,0.00E+00,0.123,0.484,144.082,279600,0
9709,DIAMONDS,CHIEF KEEF,0.795,0.625,9,-6.524,1,0.0474,0.00508,0.00E+00,0.295,0.262,133.999,185520,0
9710,CURTAINS,LIL WAYNE,0.758,0.621,0,-4.562,1,0.12,0.0456,0.00E+00,0.335,0.487,127.925,271533,0
9711,TRAPHOUSE 3,GUCCI MANE,0.836,0.567,1,-10.563,0,0.121,0.0351,2.20E-05,0.39,0.0786,112.126,228187,0
9712,BEAUTIFUL,P.O.D.,0.596,0.709,2,-4.893,1,0.0324,0.0798,0.00E+00,0.109,0.345,146.056,232987,0
9713,WOWZERZ,LIL WAYNE,0.967,0.733,1,-5.648,1,0.147,0.00335,0.00E+00,0.0838,0.807,130.017,225360,0
9714,SHE KNOWS,J. COLE,0.507,0.728,1,-10.504,1,0.182,0.0215,2.94E-01,0.203,0.196,116.337,296587,1
9715,OLD SCHOOL LOVE,LUPE FIASCO,0.701,0.781,5,-8.493,1,0.134,0.0908,1.75E-06,0.358,0.459,86.006,273904,1
9716,DREAMS AND NIGHTMARES,MEEK MILL,0.631,0.774,11,-2.459,1,0.3,0.468,0.00E+00,0.281,0.44,79.745,230693,0
9717,COLD,KANYE WEST,0.425,0.686,4,-8.213,0,0.134,8.71E-05,0.00E+00,0.281,0.468,106.695,219507,0
9718,LOVE IS OVERRATED,SHWAYZE,0.744,0.653,1,-4.207,1,0.0583,0.0363,0.00E+00,0.105,0.922,100.983,210773,0
9719,EL PRIMER TRAGO,CANSERBERO,0.495,0.661,8,-4.222,0,0.349,0.366,3.61E-06,0.193,0.414,177.534,382433,0
9720,HOLD ME BACK,RICK ROSS,0.435,0.715,11,-5.564,1,0.145,0.0382,0.00E+00,0.109,0.435,125.791,267147,0
9721,80 DIME BAGZ (BOOMIN' LIKE ALICIA KEYS),CHRIS TRAVIS,0.602,0.415,10,-16.738,0,0.161,0.0106,0.00E+00,0.337,0.468,134.362,307976,0
9722,TRAFFIC,LIL REESE,0.908,0.513,2,-5.318,1,0.0973,0.00271,0.00E+00,0.141,0.257,130.047,237293,0
